,Suburb,Liveability
0,FRANKSTON,32.73212224354729
1,FOOTSCRAY,26.074431391356427
2,CAMBERWELL,19.12437039551993
3,DANDENONG,18.127342138413493
4,MORNINGTON,17.77501788333136
5,WODONGA,17.24774793167396
6,RICHMOND,17.01271254705744
7,BENDIGO,16.56072291329938
8,BERWICK,16.37224540467586
9,RINGWOOD,15.638217889511496
10,GLEN WAVERLEY,15.328088323373699
11,WERRIBEE,14.323427476972302
12,BOX HILL,14.039626316224119
13,BRIGHTON,13.139978631736216
14,PAKENHAM,12.923423490877004
15,ST ALBANS,12.212480160522283
16,SUNBURY,12.097765345704556
17,KEW,12.057235854732271
18,CHELTENHAM,11.728678527915733
19,RESERVOIR,11.70764540888765
20,PARKVILLE,10.691391971759291
21,GLEN IRIS,10.450779785310878
22,COBURG,10.3119417309373
23,GEELONG,10.195136202037764
24,ESSENDON,9.979516704947287
25,HEIDELBERG,9.609096814706477
26,SPRINGVALE,9.232948721833502
27,WILLIAMSTOWN,8.993873975937856
28,LILYDALE,8.592998943366318
29,SHEPPARTON,8.375474548185982
30,WARRAGUL,8.154709280214444
31,CLAYTON,7.884649282305782
32,MOUNT WAVERLEY,7.317331459114806
33,HAWTHORN,7.165099841341949
34,TRARALGON,6.725236842716001
35,BUNDOORA,6.501482703421113
36,ALTONA,6.452535792229901
37,MELTON,6.264414635351793
38,ELTHAM,6.1532034636747035
39,TORQUAY,5.579391805813886
40,CRANBOURNE,5.400669079644544
41,HORSHAM,5.17781432637829
42,HOPPERS CROSSING,5.078239527322824
43,MITCHAM,5.0636713028576406
44,DONCASTER,5.037380443768187
45,NORTH MELBOURNE,4.971795282182393
46,BAYSWATER,4.749924105497606
47,WANTIRNA,4.649169465933141
48,SEAFORD,4.5894719105324695
49,BROADMEADOWS,4.497986188729441
50,SALE,4.343267136574131
51,BLACKBURN,4.0339081205428515
52,DEER PARK,3.8461891075068517
53,MENTONE,3.7603657703905515
54,MULGRAVE,3.618524402887117
55,PRAHRAN,3.3503344637425307
56,DONVALE,3.1719509200058336
57,NORTHCOTE,3.167483820540504
58,MALVERN EAST,2.875872025238687
59,THOMASTOWN,2.8560933852307784
60,HAMPTON,2.802262167272116
61,SUNSHINE,2.7173807602045983
62,BENTLEIGH,2.5207741575317932
63,ROXBURGH PARK,2.4413750849867197
64,SYDENHAM,2.376304108231453
65,EAST MELBOURNE,2.2281601137974603
66,GREENSBOROUGH,1.9926356169361554
67,MOONEE PONDS,1.7194378609347911
68,LALOR,1.6888296100004192
69,ROWVILLE,1.6345649638153845
70,WENDOUREE,1.5696711889315023
71,SURREY HILLS,1.3431849365089357
72,CANTERBURY,1.332616655957759
73,BELMONT,1.1495669340736425
74,TEMPLESTOWE,1.123019933703052
75,ECHUCA,1.0846342072477222
76,PARKDALE,0.9879305659074009
77,NUNAWADING,0.9617029279913916
78,OAKLEIGH,0.9300559912817263
79,BRUNSWICK,0.9137078328217836
80,BULLEEN,0.8520802977165971
81,CASTLEMAINE,0.5982752169825734
82,CARRUM DOWNS,0.4717889800279389
83,SEBASTOPOL,0.4582338667493566
84,PASCOE VALE,0.4570125126083595
85,SOUTH YARRA,0.3969564283653124
86,BAIRNSDALE,0.39629173975310117
87,MORDIALLOC,0.33720382831099904
88,ST KILDA,0.11608551153244395
89,ELSTERNWICK,0.05843249661541172
90,GROVEDALE,0.006451922080370487
91,FOREST HILL,-0.07633460402277459
92,THORNBURY,-0.09009066570736124
93,MILL PARK,-0.09747182591661163
94,PORTLAND,-0.26366429698181215
95,BENALLA,-0.87433877387033
96,HAMILTON,-0.9275436813810103
97,DANDENONG NORTH,-1.3466370575222366
98,CORIO,-1.370239520369255
99,AVONDALE HEIGHTS,-1.4150631929986206
100,BRIGHTON EAST,-1.4655383522633523
101,SEYMOUR,-1.4928018778203787
102,ASCOT VALE,-1.5436143400071123
103,BURWOOD,-1.5514212745207883
104,HASTINGS,-1.652957091831699
105,MALVERN,-1.7113088387749156
106,BALWYN,-1.7773594503954002
107,MONTMORENCY,-2.15879512957578
108,LARA,-2.17227221450195
109,BEAUMARIS,-2.2078854025340267
110,WEST FOOTSCRAY,-2.4668439381553373
111,KENSINGTON,-2.491338996618694
112,COBURG NORTH,-2.6999323041826955
113,BURWOOD EAST,-2.960113456080577
114,CAULFIELD,-3.0137028822064416
115,FAWKNER,-3.106241030668187
116,VERMONT,-3.2054578568217926
117,MAFFRA,-3.2869251986850982
118,SWAN HILL,-3.3135042288050442
119,NEWTOWN,-3.3530230866627186
120,MONT ALBERT,-3.7569898851381303
121,BARWON HEADS,-3.768956377270057
122,CARNEGIE,-3.7690838421882735
123,ASPENDALE,-3.847349233898094
124,KEILOR EAST,-4.0976952087621825
125,DELACOMBE,-4.447892595524571
126,CHELSEA,-4.7502489251626985
127,IVANHOE,-4.75747547465912
128,FITZROY,-4.763894686538711
129,HAMPTON PARK,-4.764295362455318
130,CARRUM,-4.902950956065589
131,ARMADALE,-4.941966229490419
132,OAK PARK,-5.024032664544331
133,CHADSTONE,-5.223088400496966
134,ASHBURTON,-5.459959284319844
135,FLEMINGTON,-5.506836302751027
136,MOE,-5.538355992400533
137,ALFREDTON,-5.618828561711854
138,WINDSOR,-5.645337318114853
139,DROMANA,-5.805490616784864
140,GLADSTONE PARK,-5.910552948546303
141,MORWELL,-6.23169571463573
142,TOORAK,-6.508355282745782
143,GOLDEN SQUARE,-6.5601107901967115
144,TULLAMARINE,-6.577241366369776
145,HURSTBRIDGE,-6.604168168498903
146,SCORESBY,-6.754499812439899
147,GEELONG WEST,-6.777520497357841
148,PASCOE VALE SOUTH,-6.84190996653084
149,NORTH GEELONG,-7.299107734303153
150,KEILOR,-7.4450622282326675
151,MURRUMBEENA,-7.628342064846217
152,KANGAROO FLAT,-7.795382832963156
153,SEDDON,-7.935283251810603
154,HEIDELBERG WEST,-8.247091167927273
155,BUNINYONG,-8.378785415802737
156,FAIRFIELD,-8.578374090944868
157,PORTSEA,-8.662765815303477
158,ABBOTSFORD,-9.098013944200556
159,FLINDERS,-9.25217892454224
160,NEWBOROUGH,-9.510402873219132
161,HERNE HILL,-9.59674427456939
162,ELWOOD,-9.635756983214844
163,HUGHESDALE,-9.696493156243267
164,CARLTON,-9.747879545637076
165,ALBERT PARK,-10.643850510044373
166,FITZROY NORTH,-10.889301112144906
167,CLIFTON HILL,-11.183718743265727
168,NORTH BENDIGO,-12.730993905507455
169,FLORA HILL,-12.84510492917717
170,PORT MELBOURNE,-13.015573062770617
171,ALPHINGTON,-13.015701015286744
172,SOUTH MELBOURNE,-13.333968592619627
173,COLLINGWOOD,-14.284104524927615
174,BURNLEY,-14.416510367969694
175,SOUTHBANK,-14.52317587826132
176,MIDDLE PARK,-15.368217492417287
177,CARLTON NORTH,-15.965789710214713
178,YARRAVILLE,-16.190442496740253
179,NEWPORT,-16.368012127303405
180,IVANHOE EAST,-17.720087332603626
181,DOCKLANDS,-20.098638463656485
182,SPOTSWOOD,-22.411176380770947
