,Suburb,2021 rent,2018_income,shopping_count,population,crime_rate,num_passenger,num_station,num facilites,num hospital,num school
0,ALBERT PARK,500,120412.0,0.0,11310.0,0.08341795829827,0.0,0.0,10.0,0.0,0.0
1,MIDDLE PARK,500,120412.0,0.0,4712.0,0.08341795829827,0.0,0.0,1.0,0.0,0.0
3,ARMADALE,450,111629.0,0.0,9436.0,0.06992300497631,423950.0,2.0,4.0,0.0,2.0
4,CARLTON NORTH,580,88807.0,0.0,8097.0,0.0919464539904099,0.0,0.0,0.0,0.0,0.0
5,CARLTON,350,59791.0,0.0,17198.0,0.0919464539904099,0.0,0.0,2.0,1.0,0.0
6,PARKVILLE,350,72420.0,0.0,7446.0,0.049926901475,117850.0,1.0,4.0,6.0,0.0
9,COLLINGWOOD,450,77705.0,0.0,9348.0,0.0919464539904099,0.0,0.0,1.0,0.0,1.0
10,ABBOTSFORD,450,78181.0,0.0,9262.0,0.0919464539904099,498500.0,2.0,5.0,0.0,1.0
11,DOCKLANDS,420,71476.0,1.0,15942.0,0.14717311415436,0.0,0.0,2.0,0.0,0.0
12,EAST MELBOURNE,450,132130.0,0.0,4962.0,0.0919464539904099,358650.0,1.0,0.0,6.0,0.0
14,ELWOOD,425,92171.0,0.0,15041.0,0.08341795829827,0.0,0.0,3.0,0.0,2.0
15,FITZROY,540,86036.0,0.0,10609.0,0.0919464539904099,0.0,0.0,9.0,2.0,2.0
16,FITZROY NORTH,530,93200.0,0.0,12955.0,0.0919464539904099,69400.0,1.0,2.0,0.0,1.0
17,CLIFTON HILL,530,99558.0,0.0,9980.0,0.0919464539904099,347000.0,1.0,4.0,0.0,1.0
18,FLEMINGTON,420,67156.0,0.0,7519.0,0.04650938808824,302600.0,1.0,2.0,0.0,1.0
19,KENSINGTON,420,81061.0,0.0,10874.0,0.04650938808824,339850.0,2.0,2.0,0.0,1.0
20,NORTH MELBOURNE,395,66723.0,0.0,23617.0,0.04650938808824,196000.0,2.0,4.0,0.0,4.0
22,PORT MELBOURNE,575,70348.0,0.0,1472.0,0.08341795829827,0.0,0.0,12.0,0.0,0.0
23,PRAHRAN,425,88528.0,1.0,15007.0,0.06992300497631,473550.0,1.0,6.0,3.0,0.0
24,WINDSOR,425,88528.0,0.0,4452.0,0.06992300497631,334200.0,1.0,1.0,2.0,0.0
25,RICHMOND,480,87699.0,1.0,30652.0,0.0919464539904099,2096450.0,4.0,17.0,3.0,3.0
26,BURNLEY,480,87699.0,0.0,601.0,0.0919464539904099,303500.0,1.0,6.0,0.0,0.0
27,SOUTH MELBOURNE,450,94237.0,0.0,3824.0,0.08341795829827,0.0,0.0,2.0,0.0,2.0
28,SOUTH YARRA,420,94748.0,2.0,21581.0,0.0919464539904099,1871300.0,2.0,8.0,0.0,3.0
29,SOUTHBANK,400,94237.0,0.0,8505.0,0.08341795829827,0.0,0.0,0.0,0.0,0.0
30,ST KILDA,395,77755.0,1.0,26204.0,0.06992300497631,0.0,0.0,3.0,1.0,2.0
31,TOORAK,515,188906.0,1.0,13098.0,0.0919464539904099,99050.0,1.0,5.0,0.0,3.0
32,BALWYN,550,88497.0,0.0,14800.0,0.03213949350435,0.0,0.0,3.0,0.0,2.0
33,BLACKBURN,420,71176.0,1.0,18367.0,0.03213949350435,686200.0,2.0,4.0,0.0,1.0
34,BOX HILL,400,55498.0,1.0,19101.0,0.03213949350435,1192700.0,1.0,8.0,3.0,3.0
35,BULLEEN,480,65889.0,1.0,11371.0,0.02354276638289,0.0,0.0,6.0,0.0,2.0
36,TEMPLESTOWE,480,80019.0,0.0,17105.0,0.02122901086559,0.0,0.0,8.0,0.0,1.0
37,DONCASTER,480,59387.0,2.0,25172.0,0.03213949350435,0.0,0.0,9.0,0.0,1.0
