,Suburb,Schools
0,ABBOTSFORD,1
1,ABERFELDIE,2
2,AIRPORT WEST,1
3,ALBION,1
4,ALEXANDRA,1
5,ALFREDTON,1
6,ALPHINGTON,2
7,ALTONA,2
8,ALTONA MEADOWS,1
9,ALTONA NORTH,2
10,ARARAT,2
11,ARDEER,1
12,ARMADALE,2
13,ARMSTRONG CREEK,2
14,ASCOT VALE,1
15,ASHBURTON,1
16,ASHWOOD,1
17,ASPENDALE,1
18,AVONDALE HEIGHTS,1
19,Abbotsford,1
20,Aintree,1
21,Aireys Inlet,1
22,Airly,1
23,Albanvale,1
24,Albert Park,3
25,Alberton,1
26,Albion,1
27,Alexandra,2
28,Alfredton,1
29,Allansford,1
30,Alphington,1
31,Altona,2
32,Altona Meadows,2
33,Altona North,1
34,Alvie,1
35,Amphitheatre,1
36,Anakie,1
37,Anglesea,1
38,Apollo Bay,1
39,Apsley,1
40,Ararat,4
41,Ardeer,1
42,Ardmona,1
43,Armadale,1
44,Armstrong Creek,2
45,Arthurs Creek,1
46,Ascot Vale,3
47,Ashburton,2
48,Ashwood,3
49,Aspendale,2
50,Aspendale Gardens,1
51,Avenel,1
52,Avoca,1
53,Avondale Heights,1
54,Axe Creek,1
55,Axedale,1
56,BACCHUS MARSH,2
57,BAIRNSDALE,4
58,BALLAN,1
59,BALLARAT,4
60,BALLARAT EAST,2
61,BALLARAT NORTH,1
62,BALWYN,2
63,BALWYN NORTH,2
64,BANGHOLME,1
65,BANNOCKBURN,1
66,BARANDUDA,1
67,BASIN,1
68,BAYSWATER,1
69,BEACONSFIELD,1
70,BEACONSFIELD UPPER,1
71,BEAUMARIS,1
72,BEECHWORTH,2
73,BELGRAVE,2
74,BELGRAVE HEIGHTS,1
75,BELL PARK,1
76,BELL POST HILL,2
77,BELMONT,1
78,BENALLA,4
79,BENDIGO,5
80,BENDIGO NORTH,1
81,BENNETTSWOOD,1
82,BENTLEIGH,2
83,BENTLEIGH EAST,1
84,BERWICK,3
85,BLACK ROCK,1
86,BLACKBURN,1
87,BLACKBURN NORTH,1
88,BLACKBURN SOUTH,1
89,BORONIA,1
90,BOX HILL,3
91,BOX HILL NORTH,1
92,BRAYBROOK,2
93,BRIGHTON,5
94,BRIGHTON EAST,2
95,BROADMEADOWS,4
96,BROOKLYN,1
97,BRUNSWICK EAST,1
98,BRUNSWICK NORTH,1
99,BRUNSWICK WEST,1
100,BULLEEN,2
101,BUNDOORA,3
102,BUNYIP,1
103,BURWOOD,2
104,Bacchus Marsh,3
105,Bairnsdale,4
106,Ballan,1
107,Ballarat,7
108,Ballarat East,2
109,Balliang East,1
