,Suburb,2001_population,2002_population,2003_population,2004_population,2005_population,2006_population,2007_population,2008_population,2009_population,2010_population,2011_population,2012_population,2013_population,2014_population,2015_population,2016_population,2017_population,2018_population,2019_population,2020_population,2021_population
1,EAST MELBOURNE,3731,3859,4243,4460,4495,4555,4806,5055,5202,5272,5238,5280,5333,5374,5411,5475,5495,5409,5413,5378,4962
3,SOUTHBANK,5883,6050,6222,6467,6575,6704,6872,6985,7134,7174,7171,7580,7947,8258,8452,8617,8760,8937,9073,9066,8505
4,DOCKLANDS,154,926,1913,3089,3779,4152,4592,5040,5402,5780,6196,6802,7988,9170,10444,11832,13923,15439,16375,16678,15942
5,FOOTSCRAY,11564,11562,11615,11619,11731,11828,12085,12462,12815,13214,14025,14397,15280,16127,16762,17343,17665,17891,18037,18068,17420
6,SEDDON,4144,4143,4163,4181,4206,4256,4285,4341,4394,4419,4462,4562,4662,4780,4882,4980,5011,5028,5028,4980,4802
10,WEST FOOTSCRAY,9807,9801,9825,9879,9988,10152,10307,10543,10700,10743,10713,10966,11220,11527,11849,12058,12144,12251,12436,12356,11885
11,YARRAVILLE,12573,12549,12686,12854,13006,13205,13536,13815,14030,14185,14325,14556,14791,15074,15330,15656,15797,15980,16077,16048,15653
12,NEWPORT,11451,11529,11605,11654,11811,12035,12338,12586,12827,12965,13065,13304,13532,13810,14104,14406,14558,14747,14966,15080,14766
14,SPOTSWOOD,1635,1647,1657,1664,1687,1719,1762,1798,1832,1852,1866,1900,1933,1972,2014,2058,2079,2106,2138,2154,2109
15,WILLIAMSTOWN,11065,11237,11307,11374,11454,11612,11769,11902,12123,12117,12087,12178,12263,12423,12600,12901,12984,13101,13207,13095,12654
17,ALTONA,11899,11801,11728,11605,11551,11544,11601,11724,11832,11891,11937,12035,12213,12421,12637,12858,13082,13285,13480,13492,13292
21,SUNSHINE,7980,8032,8093,8150,8244,8345,8473,8710,8936,9129,9238,9392,9618,9843,10083,10241,10300,10313,10301,10092,9576
27,ST ALBANS,19101,18988,18841,18748,18824,18746,18884,19102,19343,19562,19800,19887,20037,20220,20490,21064,21455,21714,21835,21643,20850
33,DEER PARK,11221,11052,11046,11183,11443,11802,12955,14300,16298,17940,19404,20356,21256,21938,22432,23094,23498,23744,23763,23453,22629
42,HOPPERS CROSSING,17670,18195,18752,19068,19322,19406,19469,19518,19559,19591,19603,19697,19829,19931,20034,20172,20080,19913,19678,19383,18663
46,WERRIBEE,9079,9148,9236,9421,9553,9589,9660,9742,9881,10010,10121,10257,10381,10534,10707,10973,11713,12747,13979,15208,15826
48,FLEMINGTON,6597,6603,6560,6646,6741,6880,7086,7233,7388,7577,7811,8010,8237,8436,8616,8782,8724,8713,8553,8397,7519
