,Suburb,Distance to CBD (km)
0,Abbotsford,2.5
1,Aberfeldie,9.1
2,Airport West,13.5
3,Albanvale,19.2
4,Albert Park,3.3
5,Albion,13.9
6,Alphington,6.4
7,Altona,13.8
8,Altona Meadows,18.1
9,Altona North,11.1
10,Ardeer,15.2
11,Armadale,6.3
12,Arthurs Creek,33.2
13,Ascot Vale,5.9
14,Ashburton,11
15,Ashwood,12.2
16,Aspendale,26.3
17,Aspendale Gardens,26.7
18,Attwood,17.9
19,Avondale Heights,10.5
20,Avonsleigh,45.2
21,Bacchus Marsh,49.3
22,Balaclava,6.6
23,Balliang East,45
24,Balwyn,9.7
25,Balwyn North,9.2
26,Bangholme,30.5
27,Baxter,45.5
28,Bayswater,26.2
29,Bayswater North,26.8
30,Beaconsfield,43.3
31,Beaconsfield Upper,44
32,Beaumaris,20
33,Belgrave,35.3
34,Belgrave Heights,35.8
35,Belgrave South,36.7
36,Bellarine,46.7
37,Bellfield,9.5
38,Bend Of Islands,30.4
39,Bentleigh,13
40,Bentleigh East,13.9
41,Berwick,40.7
42,Beveridge,37.8
43,Black Rock,18.3
44,Blackburn,16.1
45,Blackburn North,15.9
46,Blackburn South,15.6
47,Bolinda,46.6
48,Bonbeach,30.6
49,Boronia,28.3
50,Box Hill,13.1
51,Box Hill Central,13.1
52,Box Hill North,13.8
53,Box Hill South,13.4
54,Braeside,25
55,Braybrook,10.8
56,Braybrook North,7.6
57,Briar Hill,17.5
58,Brighton,11.2
59,Brighton East,10.7
60,Brighton North,10.4
61,Broadmeadows,15.4
62,Brookfield,39.8
63,Brooklyn,10.9
64,Bruces Creek,42.1
65,Brunswick,5.2
66,Brunswick East,4.5
67,Brunswick West,5.9
68,Bulla,24.3
69,Bulleen,11.8
70,Bundoora,15.3
71,Burnley,3.5
72,Burnley North,3.7
73,Burnside,20.3
74,Burnside Heights,21.7
75,Burwood,11.7
76,Burwood East,16.5
77,Cairnlea,17
78,Calder Park,23.7
79,Camberwell,7.8
80,Campbellfield,14.5
81,Canterbury,9
82,Carlton,1.8
83,Carlton North,3.2
84,Carnegie,11.4
85,Caroline Springs,22.1
86,Carrum,32.2
87,Carrum Downs,37.1
88,Caulfield,8.9
89,Caulfield East,9.3
90,Caulfield North,8.1
91,Caulfield South,9.3
92,Chadstone,13.6
93,Chadstone Centre,15.9
94,Chelsea,29.5
95,Chelsea Heights,29.6
96,Cheltenham,18.4
97,Chintin,48
98,Chirnside Park,31
99,Christmas Hills,35.5
100,Clarinda,18.3
101,Clarkefield,39.2
102,Clayton,18.1
103,Clayton South,19.6
104,Clematis,41.8
105,Clifton Hill,3.4
106,Clyde,47.9
107,Clyde North,46.1
108,Coburg,7.8
109,Coburg North,9.2
110,Cockatoo,47.7
111,Cocoroc,38.2
112,Coldstream,37.2
113,Collingwood,1.6
114,Coolaroo,18.3
115,Cottles Bridge,30.1
116,Craigieburn,24
117,Cranbourne,42.2
118,Cranbourne East,45.7
119,Cranbourne North,40.2
120,Cranbourne South,43.2
121,Cranbourne West,41.1
122,Cremorne,2.5
123,Croydon,27.3
124,Croydon Hills,27.1
125,Croydon North,28.8
126,Croydon South,26.2
127,Dallas,16
128,Dandenong,28.8
129,Dandenong North,26.7
130,Dandenong South,31.8
131,Darley,49.5
132,Darraweit Guim,46.8
133,Deer Park,17.9
134,Delahey,20
135,Derrimut,17.6
136,Devon Meadows,49.4
137,Dewhurst,46.8
138,Diamond Creek,22.7
139,Diggers Rest,30.1
