Suburb,rental rank,income rank,population rank,average rank
DROMANA,11,29,10,16.666666666666668
PORTSEA,12,54,16,27.333333333333332
ASPENDALE,24,16,50,30.0
GROVEDALE,54,34,3,30.333333333333332
WERRIBEE,83,10,2,31.666666666666668
PORT MELBOURNE,96,1,1,32.666666666666664
CHELSEA,23,13,62,32.666666666666664
SPOTSWOOD,19,31,54,34.666666666666664
NEWPORT,20,30,55,35.0
TORQUAY,6,91,12,36.333333333333336
MORNINGTON,9,40,61,36.666666666666664
YARRAVILLE,26,19,66,37.0
DELACOMBE,60,45,7,37.333333333333336
WARRAGUL,2,97,14,37.666666666666664
IVANHOE,65,14,40,39.666666666666664
HERNE HILL,74,28,34,45.333333333333336
HASTINGS,18,59,60,45.666666666666664
GEELONG WEST,75,27,35,45.666666666666664
LARA,8,128,15,50.333333333333336
NORTH GEELONG,46,60,47,51.0
CASTLEMAINE,31,81,41,51.0
MORDIALLOC,40,24,90,51.333333333333336
ALFREDTON,48,101,5,51.333333333333336
SUNBURY,35,96,24,51.666666666666664
CARRUM DOWNS,51,35,69,51.666666666666664
PARKDALE,42,25,89,52.0
BARWON HEADS,95,57,6,52.666666666666664
CHELTENHAM,135,9,19,54.333333333333336
FRANKSTON,43,23,98,54.666666666666664
FOOTSCRAY,93,17,58,56.0
NEWTOWN,10,84,77,57.0
SHEPPARTON,36,95,43,58.0
COBURG NORTH,150,7,18,58.333333333333336
VERMONT,70,48,73,63.666666666666664
ALTONA,102,8,82,64.0
MOUNT WAVERLEY,38,117,37,64.0
LILYDALE,92,11,93,65.33333333333333
BRUNSWICK,80,63,53,65.33333333333333
SCORESBY,45,66,86,65.66666666666667
MENTONE,41,49,110,66.66666666666667
PASCOE VALE SOUTH,124,21,56,67.0
BENTLEIGH,52,108,42,67.33333333333333
RINGWOOD,73,46,84,67.66666666666667
BOX HILL,16,177,11,68.0
THORNBURY,21,12,174,69.0
FITZROY NORTH,120,4,83,69.0
WILLIAMSTOWN,82,55,72,69.66666666666667
COLLINGWOOD,179,15,17,70.33333333333333
MONTMORENCY,56,36,119,70.33333333333333
HORSHAM,28,52,131,70.33333333333333
OAK PARK,147,44,20,70.33333333333333
HEIDELBERG WEST,128,39,45,70.66666666666667
GOLDEN SQUARE,71,73,70,71.33333333333333
FOREST HILL,69,88,57,71.33333333333333
KANGAROO FLAT,72,72,71,71.66666666666667
BAIRNSDALE,37,151,27,71.66666666666667
PASCOE VALE,151,43,21,71.66666666666667
SEAFORD,50,22,145,72.33333333333333
CLIFTON HILL,119,26,76,73.66666666666667
FLINDERS,17,47,162,75.33333333333333
ASHBURTON,62,62,105,76.33333333333333
FITZROY,122,20,87,76.33333333333333
WODONGA,34,90,109,77.66666666666667
SEBASTOPOL,61,80,92,77.66666666666667
CARRUM,22,113,102,79.0
NORTHCOTE,132,18,88,79.33333333333333
ECHUCA,7,105,130,80.66666666666667
CHADSTONE,115,98,30,81.0
OAKLEIGH,114,51,79,81.33333333333333
RESERVOIR,121,78,48,82.33333333333333
FAIRFIELD,58,70,120,82.66666666666667
HEIDELBERG,127,99,25,83.66666666666667
ALPHINGTON,57,69,125,83.66666666666667
CARNEGIE,89,130,33,84.0
MIDDLE PARK,29,172,52,84.33333333333333
MELTON,14,127,112,84.33333333333333
ALBERT PARK,30,173,51,84.66666666666667
WEST FOOTSCRAY,169,6,80,85.0
TOORAK,99,5,152,85.33333333333333
SEDDON,25,64,170,86.33333333333333
ELSTERNWICK,139,77,46,87.33333333333333
