,SA2,2005_income,2006_income,2007_income,2008_income,2009_income
0,101011001,35597,37283,37506,40014,41372
1,101011002,32376,33798,35309,36659,38972
2,101011003,41660,42022,45182,47363,50652
3,101011004,40494,41664,44175,46750,49955
4,101011005,30521,31174,32134,36183,36754
5,101011006,29008,28913,31978,33393,34320
6,101021007,32475,33346,35671,36390,37950
7,101021008,43734,46640,48238,51202,53737
8,101021009,43738,46632,48233,51197,53735
9,101021010,43743,46642,48227,51192,53735
10,101021011,44572,47957,49513,52220,54555
11,101021012,52561,55592,58593,62265,64728
12,101031013,32089,34067,37392,35439,36226
13,101031014,34449,35881,36552,38044,39339
14,101031015,32740,35035,36330,37095,38885
15,101031016,34947,37224,37169,38758,41031
16,101041017,30148,32262,31869,32856,35156
17,101041018,30144,32260,31868,32857,35157
18,101041019,31762,32858,33413,34597,35263
19,101041020,31657,32976,33281,34712,35413
20,101041021,30824,32392,32385,33790,35694
21,101041022,30353,30971,31826,32838,33513
22,101041023,31911,34527,33976,35665,36114
23,101041024,29513,30864,31596,32378,33584
24,101041025,31754,34391,32384,34399,36098
25,101041026,30822,32392,32376,33803,35689
26,101041027,27656,29433,28327,31448,30776
27,102011028,38612,40807,40512,43512,44532
28,102011029,37198,38805,38669,40966,42254
29,102011030,40024,41786,42088,43602,45602
30,102011031,39405,41294,41613,43693,44869
31,102011032,39790,41259,42250,43408,44669
32,102011033,39795,41259,42245,43407,44662
33,102011034,38612,40808,40513,43507,44533
34,102011035,39795,41263,42250,43413,44664
35,102011036,39792,41265,42255,43413,44668
36,102011037,39544,40971,41867,43136,44389
37,102011038,38616,40799,40507,43506,44536
38,102011039,43405,46658,46213,48382,50269
39,102011040,36064,37188,37197,38921,40397
40,102011041,43161,46371,45953,48108,49989
41,102011042,37626,38788,38906,41081,42267
42,102011043,39792,41258,42251,43409,44665
43,102021044,34222,36094,36858,38811,40466
44,102021045,32553,34234,35160,37257,39015
45,102021046,32550,34233,35153,37255,39021
46,102021047,34217,36089,36852,38807,40463
47,102021048,33734,35063,35794,37680,38803
48,102021049,35763,37147,37933,40093,41383
49,102021050,35649,37028,37829,39991,41308
50,102021051,41386,42626,43415,43173,47137
51,102021052,35781,37143,37940,40101,41400
52,102021053,34218,36092,36853,38809,40463
53,102021054,32614,33892,34559,36262,37258
54,102021055,36186,37532,38337,40317,41801
55,102021056,35759,37126,37926,40078,41382
56,102021057,35773,37140,37938,40091,41396
57,103011058,37957,39699,40181,42191,44216
58,103011059,37954,39702,40180,42191,44215
59,103011060,37803,39522,40080,42106,44126
60,103011061,35354,37046,39610,40383,41927
61,103021062,25628,23970,25011,27646,29070
62,103021063,30800,31185,32798,34191,35134
63,103021064,28243,27293,30451,33357,33805
64,103021065,30636,31015,30107,33871,34102
65,103021066,26904,21999,23228,33131,30023
66,103021067,33270,34007,36254,39457,39476
67,103021068,27034,23635,28353,31093,29849
68,103021069,29174,27261,23788,30452,31454
69,103031070,38969,41030,42121,46309,48117
70,103031071,39737,41093,42334,46830,48473
71,103031072,32746,35245,36975,39853,41403
72,103031073,33591,35126,36823,39792,39478
73,103031074,31736,33877,35844,38767,39718
74,103031075,-,-,-,-,-
75,103041076,34164,33928,37171,39988,43052
76,103041077,39419,40758,42451,45062,46790
77,103041078,39417,40757,42454,45063,46790
78,103041079,35577,35891,38467,41084,42389
79,104011080,31146,32199,32395,34123,34534
80,104011081,30122,31363,31628,33134,33662
81,104011082,27587,29752,28636,29864,32161
82,104021083,28149,30562,30706,31978,33665
83,104021084,32442,34604,34779,36908,38710
84,104021085,32444,34607,34778,36905,38713
85,104021086,32440,34607,34773,36907,38710
86,104021087,27889,28535,28515,29009,29664
87,104021088,31537,33919,33579,35651,37231
88,104021089,29646,31115,31567,33560,35285
89,104021090,28639,30660,30059,31747,32899
90,104021091,29041,32039,30349,32327,33240
91,105011092,31224,30594,34534,37753,39090
92,105011093,41257,42711,46525,48538,48357
93,105011094,30187,31422,30007,38802,38721
94,105011095,30627,29887,31519,37188,37960
95,105011096,29611,26778,25196,35108,36800
96,105021097,35026,37213,39749,40169,40881
97,105021098,30467,33945,38440,37783,39463
98,105031099,30028,29541,30297,32188,31608
99,105031100,37017,38373,39187,41445,43129
100,105031101,37016,38376,39188,41445,43131
101,105031102,37017,38371,39185,41449,43127
102,105031103,34457,35180,36655,38960,40814
103,105031104,29611,28315,31361,35690,36239
104,105031105,29848,28230,34196,35079,32994
105,105031106,28688,28690,31706,34064,34670
106,106011107,42311,44650,45812,48854,51323
107,106011108,37018,39197,40646,42842,44366
108,106011109,37702,39888,41282,43417,45046
109,106011110,36085,37832,37647,39906,41696
110,106011111,35779,37733,38585,41223,42834
111,106011112,47249,50620,50286,56330,58507
112,106011113,46942,50235,50004,55806,58022
113,106021114,42392,44446,45415,48590,50682
114,106021115,39818,41947,43113,45467,47408
115,106021116,42452,44327,45780,48632,50967
116,106021117,42384,44287,45650,48571,50858
117,106021118,38102,40979,42139,43924,46041
118,106031119,34263,35083,36282,38347,40071
119,106031120,33318,34242,34995,37333,39224
120,106031121,35470,38743,36304,38574,40523
121,106031122,35102,36690,37123,39772,40761
122,106031123,38883,40808,41261,44417,45958
123,106031124,35029,36579,37006,39677,40640
124,106031125,37409,39017,40048,43040,45023
125,106041126,44497,46669,47545,51757,54312
126,106041127,44505,42359,44475,48892,50204
127,106041128,45585,47134,49649,49991,49100
128,106041129,38649,39023,41590,43622,44244
129,107011130,35916,37320,38082,40294,40582
130,107011131,38753,40370,41024,45776,43885
131,107011132,38880,40506,41155,45852,44030
132,107011133,36226,38629,41489,42462,42584
133,107011134,43342,45129,45834,48635,49306
134,107021135,38981,41324,37766,45545,45931
135,107031136,39587,41187,42137,44610,44723
136,107031137,39583,41180,42135,44614,44728
137,107031138,40650,43517,42636,45263,45998
